TIPO,NOMBRE,DESCRIPCIÓN,LINK
RESOLUCIÓN EXENTA,Resolución Exenta 1059,"MODIFICA PROTOCOLO DE VIGILANCIA DEL AMBIENTE DE TRABAJO Y DE LA SALUD DE LOS TRABAJADORES EXPUESTOS A SÍLICE, aprobado por Resolución Exenta N° 268 de 2015",https://www.minsal.cl/
RESOLUCIÓN EXENTA,Resolución Exenta 1448,"ACTUALIZA PROTOCOLO DE VIGILANCIA DE RIESGOS PSICOSOCIALES EN EL TRABAJO Y DEJA SIN EFECTO LA RESOLUCIÓN Nº 1.433 EXENTA, DE 2017, DEL MINISTERIO DE SALUD",https://www.bcn.cl/leychile/navegar?idNorma=1183368
RESOLUCIÓN EXENTA,Resolución 1660 EXENTA,APRUEBA ACTUALIZACIÓN DE PROTOCOLO DE VIGILANCIA DE TRABAJADORES EXPUESTOS A FACTORES DE RIESGOS DE TRASTORNOS MUSCULOESQUELÉTICOS,https://www.bcn.cl/leychile/navegar?idNorma=1209799
SUSESO,Circular 3448,"RECOPILACION ACTUALIZADA DE NORMAS. CAPITULO 2-10. PLANES DE AHORRO PREVISIONAL VOLUNTARIO. REMPLAZA INSTRUCCIONES.",https://www.suseso.cl/
SUSESO,Circular 3617,"PROTOCOLO DE VIGILANCIA DE RIESGOS PSICOSOCIALES EN EL TRABAJO, MODIFICA EL TÍTULO III. CALIFICACIÓN DE ENFERMEDADES PROFESIONALES DEL LIBRO III Y EL TÍTULO II. RESPONSABILIDADES Y OBLIGACIONES DE LOS ORGANISMOS ADMINISTRADORES, DEL LIBRO IV. PRESTACIONES PREVENTIVAS, DEL COMPENDIO DE NORMAS DEL SEGURO SOCIAL DE ACCIDENTES DEL TRABAJO Y ENFERMEDADES PROFESIONALES DE LA LEY N°16.744",https://www.suseso.cl/
SUSESO,Circular 3705,MODIFICA INSTRUCCIONES SOBRE ACCIDENTES DEL TRABAJO GRAVES Y FATALES,https://www.suseso.cl/
SUSESO,Circular 3709,COMPENDIO - CAPÍTULO IV: Programas de vigilancia de la salud de los trabajadores expuestos a sílice,https://www.suseso.cl/
PROTOCOLO,Guía MMC - Gestión,Guía para la gestión del Riesgo asociado al Manejo Manual de Carga,https://www.isl.gob.cl/
PROTOCOLO,Guía Acoso Laboral,GUÍA PARA LA DETECCIÓN Y PREVENCIÓN DEL ACOSO LABORAL,https://www.mintrab.gob.cl/
PROTOCOLO,Guía Preventiva Ruido,Guía preventiva para los trabajadores expuestos a ruido,https://www.isl.gob.cl/
PROTOCOLO,Guía Técnica Silicosis,Guía Técnica para la prevención de la silicosis,https://www.isl.gob.cl/
PROTOCOLO,Guía Técnica SG Sílice,Guía Técnica para la elaboración de un sistema de gestión de Riesgos - exposición a Sílice,https://www.isl.gob.cl/
PROTOCOLO,Guía Riesgos Psicosociales - Justicia Organizacional,GUÍA PARA LA GESTIÓN DE RIESGOS PSICOSOCIALES EN EL TRABAJO: JUSTICIA ORGANIZACIONAL,https://www.isl.gob.cl/
PROTOCOLO,Guía Minsal TMERT,"Guía para la interpretación de la norma técnica, identificación y evaluación de factores de riesgo de trastornos musculoesquelético relacionados con el trabajo de extremidades superiores",https://www.minsal.cl/
PROTOCOLO,Guía MMC - Evaluación y Control,GUÍA TÉCNICA PARA LA EVALUACIÓN Y CONTROL DE LOS RIESGOS ASOCIADOS AL MANEJO O MANIPULACIÓN MANUAL DE CARGA,https://www.isl.gob.cl/
PROTOCOLO,Dimensiones Riesgos Psicosociales,Dimensiones de Riesgos Psicosociales en el trabajo,https://www.isl.gob.cl/
PROTOCOLO,Riesgos Psicosociales CEAL-SM/SUSESO,Protocolo MINSAL 2022 (PDF),https://www.achs.cl/docs/librariesprovider2/empresa/8-factores-psicosociales/2-normativa/2022-11-10_protocolo-psicosocial.pdf
PROTOCOLO,Riesgos Psicosociales CEAL-SM/SUSESO,Resolución Exenta N° 1448 (2022),https://www.achs.cl/docs/librariesprovider2/empresa/8-factores-psicosociales/2-normativa/minsal-resoluci%C3%B3n-exenta-1448-(2022).pdf
PROTOCOLO,Riesgos Psicosociales CEAL-SM/SUSESO,Manual del método CEAL-SM/SUSESO,https://www.achs.cl/docs/librariesprovider2/empresa/8-factores-psicosociales/2-normativa/manual-del-metodo-ceal.pdf
PROTOCOLO,Riesgos Psicosociales CEAL-SM/SUSESO,Plataforma SUSESO CEAL-SM,https://www.suseso.cl/605/w3-article-694207.html
PROTOCOLO,Riesgos Psicosociales CEAL-SM/SUSESO,ISL – Información del protocolo,https://www.isl.gob.cl/protocolo-riesgos-psicosociales-ceal-sm-suseso/
PROTOCOLO,TMERT V3 (Trastornos Musculoesqueléticos),Protocolo TMERT V2 (vigente),https://www.achs.cl/docs/librariesprovider2/empresa/7-trabajo-repetitivo-(tmert)/2-normativa/protocolo-de-vigilancia-ocupacional-por-exposici%C3%B3n-a-tmert-v2.pdf
PROTOCOLO,TMERT V3 (Trastornos Musculoesqueléticos),Resolución Exenta N° 1697-2025 (TMERT V3),https://www.achs.cl/docs/librariesprovider2/empresa/7-trabajo-repetitivo-(tmert)/2-normativa/res-exenta-n-1697-2025.pdf
PROTOCOLO,TMERT V3 (Trastornos Musculoesqueléticos),Información IST sobre TMERT,https://ist.cl/tmert-eess-trastornos-musculo-esqueleticos/
PROTOCOLO,MMC/MMP (Manejo Manual de Carga/Pacientes),Guía Técnica oficial (Subsecretaría de Previsión Social),https://www.previsionsocial.gob.cl/sps/download/biblioteca/seguridad-y-salud-en-el-trabajo/guia-manejo-cargas/guia-tecnica-manejo-manual-de-carga.pdf
PROTOCOLO,MMC/MMP (Manejo Manual de Carga/Pacientes),Ley N° 20.949,https://www.bcn.cl/leychile/Navegar?idNorma=1094899
PROTOCOLO,MMC/MMP (Manejo Manual de Carga/Pacientes),Manual implementación ACHS,https://www.achs.cl/docs/librariesprovider2/empresa/2-manejo-manual-de-carga-(mmc)/4-herramientas/paso-1-manual-implementacion-mmc.pdf
PROTOCOLO,PREXOR (Exposición Ocupacional a Ruido),PREXOR – Protocolo MINSAL,https://www.achs.cl/docs/librariesprovider2/empresa/minsal/5-ruido-(plexor)/2-normativa/protocolo-de-exposici%C3%B3n-ocupacional-a-ruido-prexor.pdf
PROTOCOLO,PREXOR (Exposición Ocupacional a Ruido),PREXOR oficial MINSAL (PDF),https://www.minsal.cl/sites/default/files/files/protocolo_vigilancia_expuestos_a_ruido_minsal.pdf
PROTOCOLO,PREXOR (Exposición Ocupacional a Ruido),Protocolo Evaluación de Ruido v4.0 – 2025 (Res. Exenta N° 818),https://www.ispch.gob.cl/wp-content/uploads/resoluciones/35569_5921-2025.pdf
PROTOCOLO,PREXOR (Exposición Ocupacional a Ruido),Instructivo DS 594 Agente Físico Ruido,https://www.achs.cl/docs/librariesprovider2/empresa/minsal/5-ruido-(plexor)/2-normativa/instructivo-para-la-aplicaci%C3%B3n-del-ds-594-agente-f%C3%ADsico---ruido.pdf
PROTOCOLO,PREXOR (Exposición Ocupacional a Ruido),Publicaciones ISP – Ruido,https://www.ispch.gob.cl/salud-de-los-trabajadores/publicaciones-de-referencia/ruidos/
PROTOCOLO,Radiación UV de Origen Solar,Guía Técnica Radiación UV Solar,https://www.achs.cl/docs/librariesprovider2/empresa/minsal/6-radiaciones-uvs/2-normativa/gu%C3%ADa-t%C3%A9cnica-radiaci%C3%B3n-ultravioleta-de-origen-solar.pdf
